HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
乌拉圭,WŪLĀGUĪ,Uruguay,NP,,,4,29
餐厅,CĀNTĪNG,"comedor, restaurante",NOM,,,5,1
在,ZÀI,estar,VER,en,PRE,5,2
哪儿,NǍR,dónde,PI,,,5,3
宿舍,SÙSHÈ,dormitorio,NOM,,,5,4
女,NǙ,mujer,NOM,femenino,ADJ,5,5
坐,ZUÒ,sentarse,VER,,,5,6
谢谢,XIÈXIÈ,dar las gracias,VER,,,5,7
对不起,DUÌBUQǏ,"lo siento, disculpe, perdone",FH,,,5,8
知道,ZHĪDÀO,saber,VER,,,5,9
没关系,MÉIGUĀNXI,"no importa, no hay problema",FH,,,5,10
再见,ZÀIJIÀN,¡hasta luego!,FH,,,5,11
再,ZÀI,otra vez,ADV,,,5,12
小姐,XIǍOJIĚ,"señorita, chica joven",NOM,,,5,13
二,ÈR,dos,NUM,,,5,14
层,CÉNG,"piso, planta",CLA,,,5,15
零,LÍNG,cero,NUM,,,5,16
四,SÌ,cuatro,NUM,,,5,17
号,HÀO,"número, fecha",NOM,,,5,18
不用,BÚYÒNG,no necesitar,ADV,,,5,19
这儿,ZHÈR,aquí,PRO,,,5,20
晚,WǍN,tarde,ADJ,,,5,21
了,LE,partícula de aspecto,PT,,,5,22
去,QÙ,ir,VER,,,6,1
游泳,YÓUYǑNG,nadar,V+O,,,6,2
昨天,ZUÓTIĀN,ayer,NOM,,,6,3
京剧,JĪNGJÙ,Ópera de Beijing,NOM,,,6,4
怎么样,ZĚNMEYÀNG,¿Qué tal? / ¿Cómo?,PI,,,6,5
有意思,YǑUYÌSI,interesante,FH,,,6,6
今天,JĪNTIĀN,hoy,NOM,,,6,7
天,TIĀN,día / cielo,NOM,,,6,8
天气,TIĀNQÌ,tiempo (atmosférico),NOM,,,6,9
太,TÀI,demasiado,ADV,,,6,10
时候,SHÍHOU,tiempo (momento),NOM,,,6,11
现在,XIÀNZÀI,ahora,NOM,,,6,12
明天,MÍNGTIĀN,mañana,NOM,,,6,13
有,YǑU,tener,VER,,,6,14
事件,SHÍJIĀN,tiempo,NOM,,,6,15
说,SHUŌ,"hablar, decir",VER,,,6,16
一,YĪ,uno,NUM,,,6,17
遍,BIÀN,número de veces (de una acción),CLA,,,6,18
打球,DǍQIÚ,jugar a la pelota,V+O,,,6,19
打,DǍ,jugar,VER,,,6,20
球,QIÚ,pelota,NOM,,,6,21
抱歉,BÀOQIÀN,"arrepentido, apenado",ADJ,,,6,22
恐怕,KǑNGPÀ,"quizás, tal vez",ADV,,,6,23
行,XÍNG,estar bien,VER,,,6,24
开学,KĀIXUÉ,empezar las clases,V+O,,,7,1
开,KĀI,"empezar, abrir",VER,abierto,ADJ,7,2
看,KÀN,"mirar, ver",VER,,,7,3
一下,YÍXIÀ,"(se utiliza después de un verbo para indicar una acción rápida, breve, aleatoria, informal)",OTR,,,7,4
名片,MÍNGPIÀN,tarjeta de visita,NOM,,,7,5
啊,À,"ah, oh",INT,,,7,6
教授,JIÀOSHÒU,profesor universitario,NOM,,,7,7
介绍,JIÈSHÀO,presentar,VER,introducción,NOM,7,8
名字,MÍNGZI,nombre,NOM,,,7,9
中文,ZHŌNGWÉN,chino (idioma),NOM,,,7,10
专业,ZHUĀNYÈ,"carrera, especialidad",NOM,,,7,11
美术,MĚISHÙ,bellas artes,NOM,,,7,12
美,MĚI,"bello, hermoso, guapo",ADJ,,,7,13
文学,WÉNXUÉ,literatura,NOM,,,7,14
系,XÌ,"facultad, instituto, departamento",NOM,,,7,15
家,JIĀ,"familia, hogar",NOM,,,8,1
几,JǏ,cuántos,PI,,,8,2
照片,ZHÀOPIÀN,fotografía,NOM,,,8,3
和,HÉ,y,CON,,,8,4
个,GÈ,clasificador de uso general,CLA,,,8,5
姐姐,JIĚJIE,hermana mayor,NOM,,,8,6
两,LIǍNG,dos,NUM,,,8,7
一共,YÍGÒNG,en total,ADV,,,8,8
还,HÁI,además / todavía,ADV,,,8,9
妹妹,MÈIMEI,hermana menor,NOM,,,8,10
小,XIǍO,"pequeño, menor",ADJ,,,8,11
狗,GǑU,perro,NOM,,,8,12
当然,DĀNGRÁN,"obvio, como debe ser",ADJ,,,8,13
张,ZHĀNG,clasificador para objetos planos,CLA,,,8,14
真,ZHĒN,realmente,ADV,real / verdadero,ADJ,8,15
可爱,KĚÀI,"adorable, agradable / precioso",ADJ,,,8,16
爱,ÀI,amor,NOM,amar,VER,8,17
没,MÉI,no haber,VER,,,8,18
做,ZUÒ,hacer,VER,,,8,19
工作,GŌNGZUÒ,trabajo,NOM,trabajar,VER,8,20
大,DÀ,"grande, voluminoso",ADJ,,,8,21
多少,DUŌSHǍO,"cuánto, cuántos",PI,,,8,22
多,DUŌ,mucho,ADJ,,,8,23
少,SHǍO,poco,ADJ,,,8,24
喜欢,XǏHUAN,"gustar, preferir",VER,,,8,25
外国,WÀIGUÓ,país extranjero,NOM,,,8,26
百,BǍI,cien,NUM,,,8,27
口,KǑU,boca,NOM,,,8,28
,JĪNNIÁN,este año,NOM,,,9,1
,NIÁN,año,NOM,,,9,2
,SUÌ,año (edad),CLA,,,9,3
,KÈ,clase / lección,NOM,,,9,4
,XĪNGQĪ,semana,NOM,,,9,5
,SHÀNGWǓ,por la mañana,NOM,,,9,6
,SHÀNG,encima / pasado,NOM,,,9,7
,XIÀWǓ,por la tarde,NOM,,,9,8
,XIÀ,debajo / próximo,NOM,,,9,9
,XĪNGQĪRÌ,domingo,NOM,,,9,10
,SHĒNGRI,cumpleaños,NOM,,,9,11
,SHĒNG,nacer,VER,vida,NOM,9,12
,DUŌDÀ,¿cuántos años / qué edad?,PI,,,9,13
,CHŪSHĒNG,nacer,VER,nacimiento,NOM,9,14
,CHŪ,salir,VER,fuera,ADV,9,15
,SHǓ,nacer en el año de,VER,,,9,16
,MǍ,caballo,NOM,,,9,17
,JÙHUÌ,fiesta,NOM,,,9,18
,HUÌ,reunión,NOM,,,9,19
,ZHÙHÈ,felicitar,VER,felicitación,NOM,9,20
,ZHÙ,"desear, felicitar",VER,deseo,NOM,9,21
,CĀNJIĀ,participar / asistir / integrarse,VER,,,9,22
,GUÒ,celebrar,VER,,,9,23
,CHĪ,comer,VER,,,9,24
,DÀNGĀO,pastel / torta,NOM,,,9,25
,DÀN,huevo,NOM,,,9,26
,GĀO,pastel,NOM,,,9,27
,MǍI,comprar,VER,,,9,28
,PÍNG,botella,CLA,,,9,29
,HÓNG,rojo,ADJ,,,9,30
,PÚTÁOJIǓ,vino,NOM,,,9,31
,PÚTÁO,uva,NOM,,,9,32
,JIǓ,bebida alcohólica,NOM,,,9,33
,BĚIJĪNG,Beijing,NP,,,9,34
,KUÀILÈ,feliz,ADJ,,,9,35
,PIÀOLIANG,guapa (chica) / bonito (cosas),ADJ,,,9,36
,KǍOYĀ,pato laqueado,NOM,,,9,37
,YĀ,pato,NOM,,,9,38
,SHÒUMIÀN,tallarines de la longevidad,NOM,,,9,39
,MIÀN,tallarín / cara,NOM,,,9,40
,YUÈ,mes / luna,NOM,,,9,41
,WǍNSHANG,noche,NOM,,,9,42
,ÉRZI,hijo,NOM,,,9,43
,GUĀNGPÁN,CD,NOM,,,10,1
,CHÁNGCHÁNG,"a menudo, frecuentemente",ADV,,,10,2
,CHÁNG,"a menudo, frecuentemente",ADV,,,10,3
,GĒN,con,PRE,seguir,VER,10,4
,SHĀNGCHǍNG,centro comercial,NOM,,,10,5
,SHĀNG,"comercio, negocio",NOM,,,10,6
,YǑUMÍNG,famoso,ADJ,,,10,7
,SHŪ,libro,NOM,,,10,8
,BÀOZHǏ,"diario, periódico",NOM,,,10,9
,BĚNZI,"cuaderno, libreta",NOM,,,10,10
,NÀR,allí,PRO,,,10,11
,LIÁNGZHÙ,nombre de un concierto para violín chino,NP,,,10,12
,SHĪFU,trabajador experto / maestro,NOM,,,10,13
,XIĀNGJIĀO,plátano,NOM,,,10,14
,PÍNGGUǑ,manzana,NOM,,,10,15
,ZĚNME,"cómo, por qué",PI,,,10,16
,RÓNGYÌ,fácil,ADJ,,,10,17
,JĪN,clasificador de peso (medio kilo),CLA,,,10,18
,QIÁN,dinero,NOM,,,10,19
,KUÀI,clasificador para unidades básicas de moneda china (oral),CLA,,,10,20
,MÁO,clasificador de unidades de moneda china (oral),CLA,cabello,NOM,10,21
,GUÌ,"caro, apreciado",ADJ,,,10,22
,FĒN,clasificador de unidades de moneda china (oral y escrito),CLA,,,10,23
,SÒNG,regalar,VER,,,10,24
,GĚI,dar,VER,,,10,25
,ZHǍO,dar cambio / buscar,VER,,,10,26
,YUÁN,clasificador para unidades básicas de moneda china (escrito),CLA,,,10,27
,JIǍO,clasificador de unidades de moneda china (escrito),CLA,,,10,28
,YĪNYUÈ,música,NOM,,,10,29
,WÈISHÉNME,¿por qué? / ¿para qué?,PI,,,10,30
,YÍNWÈI,porque,CON,,,10,31
,HUÌ,saber hacer algo (habilidad aprendida),VAUX,,,11,1
,YĪDIǍNR,un poco,CLA,,,11,2
,SĪJĪ,"conductor, chofer",NOM,,,11,3
,DIǍNZHŌNG,en punto,CLA,reloj,NOM,11,4
,CHÀ,"estar corto de, carecer de",VER,,,11,5
,KÈ,un cuarto (de hora),CLA,trimestre,NOM,11,6
,HUÍ,volver,VER,,,11,7
,SHÀNGKÈ,ir a clase,V+O,,,11,8
,JIĀO,enseñar,VER,,,11,9
,NÉNG,poder hacer algo (habilidad física o posiblidad de hacerlo),VAUX,,,11,10
,DÀO,"llegar, alcanzar",VER,,,11,11
,NǍLI,no (expresión de negación que denota modestia),FH,,,11,12
,YĪNGYǓ,inglés (idioma),NOM,,,11,13
,SŪNNÜR,nieta por parte de hijo,NOM,,,11,14
,NǙ'ÉR,hija,NOM,,,11,15
,SUÌSHU,años (edad),NOM,,,11,16
,SHÙ,número,NOM,,,11,17
,HÁI,además / todavía,ADV,,,11,18
,FĒN,minuto,CLA,,,11,19
,BÁIBÁI,adiós,FH,,,11,20
,WÈISHÉNME,"¿por qué?, ¿para qué?",PI,,,11,21
,WÈI,para,PRE,,,11,22
,ZUÓTIĀN,ayer,NOM,,,11,23
,DŌNGXI,"cosas, objetos",NOM,,,11,24
,WÁNR,"pasarlo bien, jugar",VER,,,11,25
,WǍNSHANG,"tarde, noche",NOM,,,11,26
,BÀN,"mitad, media",CLA,,,11,27
,XIĚ,escribir,VER,,,11,28
,HÀNZÌ,carácter chino,NOM,,,11,29
,ZÌ,"carácter, palabra",NOM,,,11,30
,SHUÌJIÀO,"dormir, ir a la cama",V+O,,,11,31
,SHUÌ,dormir,VER,sueño,NOM,11,32
,QǏCHUÁNG,levantarse,V+O,,,11,33
,QǏ,"levantarse, ponerse en pie, elevar",VER,,,11,34
,CHUÁNG,cama,NOM,,,11,35
,YĪNGGĀI,debería,VAUX,,,11,36
,GĀI,debería,VAUX,,,11,37
,WÈNTÍ,"pregunta, problema",NOM,,,11,38
,KĚYǏ,puede que,VAUX,,,11,39
,XĪBĀNYÁYǓ,español,NOM,,,11sup,1
,FǍYǓ,francés,NOM,,,11sup,2
,DÉYǓ,alemán,NOM,,,11sup,3
,RÌYǓ,japonés,NOM,,,11sup,4
,XIÀKÈ,salir de la clase / acabar la clase,V+O,,,11sup,5
,CHĪFÀN,"comer, tomar (una comida)",V+O,,,11sup,6
,KĀICHĒ,conducir un coche,V+O,,,11sup,7
,TIÀOWǓ,bailar,V+O,,,11sup,8
,CHÀNGGĒ,cantar (una canción),V+O,,,11sup,9
,HUÍDÁ,responder,VER,,,11sup,10
,LǏWǓ,"regalo, obsequio",NOM,,,11sup,11
,SHǑUBIǍO,reloj de pulsera,NOM,,,11sup,12
,ZHŌNGBIǍO,reloj de pared,NOM,,,11sup,13
,XĪYĀN,fumar,V+O,,,11sup,14
,NÁN,difícil,ADJ,,,11sup,15
,DǍDĪ,tomar un taxi,V+O,,,11sup,16
全身,QUÁNSHĒN,todo (el cuerpo),NOM,,,12,1
全,QUÁN,"completo, todo",ADJ,,,12,2
身,SHĒN,cuerpo,NOM,,,12,3
舒服,SHŪFU,"cómodo, bien",ADJ,,,12,4
每,MĚI,cada,PRO,,,12,5
锻炼,DUÀNLIÀN,hacer ejercicio físico,VER,,,12,6
头,TÓU,cabeza,NOM,,,12,7
疼,TÉNG,doloroso,ADJ,,,12,8
嗓子,SǍNGZI,garganta,NOM,,,12,9
想,XIǍNG,"querer hacer, tener ganas de hacer, creer",VAUX,,,12,10
医院,YĪYUÀN,hospital,NOM,,,12,11
看病,KÀNBÌNG,ir al médico,V+O,,,12,12
病,BÌNG,enfermedad,NOM,ponerse enfermo,VER,12,13
身体,SHĒNTǏ,"cuerpo, salud",NOM,,,12,14
要,YÀO,"deber, querer hacer algo",VAUX,,,12,15
吧,BA,(partícula modal),PM,,,12,16
还是,HÁISHI,o,CON,,,12,17
一起,YÌQǏ,juntos,ADV,,,12,18
冷,LĚNG,frío,ADJ,,,12,19
穿,CHUĀN,llevar puesto,VER,,,12,20
衣服,YĪFU,ropa,NOM,,,12,21
休息,XIŪXI,descansar,VER,descanso,NOM,12,22
给,GĚI,"a, para",PRE,,,12,23
挂号,GUÀHÀO,registrarse (en un hospital),VER,,,12,24
有点儿,YǑUDIǍNR,un poco,ADV,,,12,25
发炎,FĀYÁN,inflamarse,V+O,,,12,26
发烧,FĀSHĀO,tener fiebre,V+O,,,12,27
烧,SHĀO,quemar,VER,,,12,28
感冒,GǍNMÀO,tener resfriado,VER,resfrío,NOM,12,29
住院,ZHÙYUÀN,estar (internado) en el hospital,V+O,,,12,30
水,SHUǏ,agua,NOM,,,12,31
药,YÀO,medicina,NOM,,,12,32
愿意,YUÀNYÌ,estar dispuesto a hacer algo,VAUX,,,12,33
中药,ZHŌNGYÀO,medicina tradicional china,NOM,,,12,34
西药,XĪYÀO,medicina occidental,NOM,,,12,35
西,XĪ,"oeste, occidental",NOM,,,12,36
,RÈ,calor,NOM,caliente,ADJ,12sup,1
,YÁ,diente,NOM,,,12sup,2
,DÙZI,"abdomen, estómago, vientre",NOM,,,12sup,3
,XIĚ,sangre,NOM,,,12sup,4
,LIÁNGKUAI,fresco,ADJ,,,12sup,5
,SHĒNGHUÓ,vida,NOM,vivir,VER,12sup,6
,ZHÙ,"residir, vivir",VER,,,12sup,7
,ZHŌNGWǓ,mediodía,NOM,,,12sup,8
,GŪNIANG,"chica, niña",NOM,,,13,1
,TĪNGSHUŌ,oír decir,VER,,,13,2
,TĪNG,escuchar,VER,,,13,3
,DÉ,"tener, conseguir, agarrar",VER,,,13,4
,GÀOSU,"decir, contar",VER,,,13,5
,JIÀN,"clasificador para pieza de ropa, parte",CLA,,,13,6
,SHÌR,"asunto, cosa, negocio",NOM,,,13,7
,SÀNBÙ,"dar un paseo, caminar",V+O,,,13,8
,BÙ,paso,NOM,,,13,9
,DIÀN,electricidad,NOM,,,13,10
,DIÀNYǏNG,película,NOM,,,13,11
,DIÀNYǏNGYUÀN,cine,NOM,,,13,12
,YǏNGZI,sombra,NOM,,,13,13
,KĚSHÌ,pero,CON,,,13,14
,ZHǍO,buscar,VER,,,13,15
,FÁNGZI,casa,NOM,,,13,16
,ZŪ,alquilar,VER,,,13,17
,JIĀN,"clasificador para habitación, casa, etc.",CLA,,,13,18
,CHÚFÁNG,cocina,NOM,,,13,19
,CÈSUǑ,baño,NOM,,,13,20
,FÁNGZŪ,(dinero del) alquiler,NOM,,,13,21
,GŌNGSĪ,empresa,NOM,,,13,22
,KĀFĒI,café,NOM,,,13,23
,SÙSHÈ,"dormitorio, habitación",NOM,,,13,24
,BÀN,hacer / hacer frente a,VER,,,13,25
,DǍDIÀNHUÀ,llamar por teléfono,V+O,,,13,26
,DIÀNHUÀ,llamada telefónica / teléfono,NOM,,,13,27
,RÀNG,"permitir, dejar",VER,,,13,28
,BĀNGZHÙ,ayudar,VER,ayuda,NOM,13,29
,WÉI,hola,OTR,,,13,30
,WÈI,clasificador personas (manera educada),CLA,,,13,31
,JĪNGLǏ,gerente,NOM,,,13,32
,KĚNÉNG,"quizás, puede que",VAUX,,,13,33
,CHĪFÀN,"comer, tomar (una comida)",V+O,,,13,34
,FÀN,comida,NOM,,,13,35
,DĚNG,esperar,VER,,,13,36
,QǏNG,"invitar, solicitar, pedir",VER,,,13,37
,JIĀMĚI,(nombre de inmobiliaria),NP,,,13,38
,ZHŌNGWǓ,mediodía,NOM,,,14,1
,GĀNGCÁI,recién,ADV,,,14,2
,YÓUJÚ,oficina de correos,NOM,,,14,3
,YÓU,enviar por correo,VER,,,14,4
,JÚ,oficina,NOM,,,14,5
,JÌ,"enviar, mandar (algo físico)",VER,,,14,6
,DǍSǍO,limpiar,VER,,,14,7
,DǍ,golpear,VER,,,14,8
,SǍO,barrer,VER,,,14,9
,ZĀNG,sucio,ADJ,,,14,10
,GĀNJÌNG,limpio,ADJ,,,14,11
,BÙHǍOYÌSI,sentirse avergonzado,FH,,,14,12
,XǏ,lavar,VER,,,14,13
,WÀIPÓ,abuela (materna),NOM,,,14,14
,LǍOLǍO,abuela (materna),NOM,,,14,15
,ZHŌNGXUÉ,"liceo, secundario",NOM,,,14,16
,DǍGŌNG,trabajar a tiempo parcial,VER,,,14,17
,NÁNFĀNG,parte sur,NOM,,,14,18
,LǙXÍNG,viajar,VER,viaje,NOM,14,19
,XIǍNG,echar de menos,VER,,,14,20
,LIÚXUÉSHĒNG,estudiante extranjero,NOM,,,14,21
,ZHÙ,"vivir, residir",VER,,,14,22
,LÓU,edificio / piso,NOM,,,14,23
,DUÌ,correcto,ADJ,,,14,24
,CUÒ,incorrecto,ADJ,,,14,25
,NIÀN,leer (en voz alta),VER,,,14,26
,SHĒNGCÍ,nueva palabra,NOM,,,14,27
,SHĒNG,nuevo,ADJ,,,14,28
,CÍ,palabra,NOM,,,14,29
,FÙXÍ,repasar,VER,,,14,30
,KÈWÉN,"texto, lección de texto",NOM,,,14,31
,LIÀNXÍ,practicar,VER,ejercicio (en un libro),NOM,14,32
,LIÀN,practicar,VER,,,14,33
,KǑUYǓ,oral / lengua hablada,NOM,,,14,34
,YǓFǍ,gramática,NOM,,,14,35
,GUÒ,"celebrar (un cumpleaños, una festividad)",VER,,,14,36
,JIÉ,festividad,NOM,,,14,37
,LǏWÙ,regalo,NOM,,,14,38
,SHÈNGDÀN,Navidad,NP,,,14,39
,ŌUZHŌU,Europa,NP,,,14,40
,LĀMĚI,América Latina,NP,,,14,41
,SHÀNGHǍI,Shanghai,NP,,,14,42
